page,level,name_zh,name_en,poisoning_chapter19,accidental,intentional_self_harm,undetermined_intent,treatment_adverse_effect
1648,0,人卵泡刺激素,"Follicle-stimulating hormone, human",T38.8,X44.-,X64.-,Y14.-,Y42.8
1648,0,卵泡刺激素 - 现译名,Follicle-stimulating hormone,T38.8,X44.-,X64.-,Y14.-,Y42.8
1648,1,皮,husk,T47.4,X44.-,X64.-,Y14.-,Y53.4
1648,0,卵叶车前子,Ispagula,T47.4,X44.-,X64.-,Y14.-,Y53.4
1648,0,罗红霉素(抗生素),Roxithromycin,T36.3,X44.-,X64.-,Y14.-,Y40.3
1648,0,仑哌隆(安定药),Lenperone,T43.4,X41.-,X61.-,Y11.-,Y49.4
1648,0,罗沙前列醇(前列腺素类),Rosaprostol,T47.1,X44.-,X64.-,Y14.-,Y53.1
1648,0,罗沙替丁(组胺H2受体阻滞药),Roxatidine,T47.0,X44.-,X64.-,Y14.-,Y53.0
1648,0,罗索沙星(抗感染药),Rosoxacin,T37.8,X44.-,X64.-,Y14.-,Y41.8
1648,0,罗他霉素(抗生素),Rokitamycin,T36.3,X44.-,X64.-,Y14.-,Y40.3
1648,0,罗索沙星(抗感染药),Roxotamine,T45.0,X44.-,X64.-,Y14.-,
1648,0,罗西维林(解痉药),Rociverine,T44.3,X43.-,X63.-,Y13.-,Y51.3
1648,0,罗托沙敏(抗组胺药),Rotoxamine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1648,0,萝芙木(生物碱),Rauwolfia (alkaloids),T46.5,X44.-,X64.-,Y14.-,Y52.5
1648,0,螺哌隆(安定药),Spiroperidol,T43.4,X41.-,X61.-,Y11.-,Y49.4
1648,0,螺立林(抗精神病药),Spirilene,T43.5,X41.-,X61.-,Y11.-,Y49.5
1648,0,螺内酯[安体舒通](利尿剂),Spironolactone,T50.0,X44.-,X64.-,Y14.-,Y54.1
1648,0,螺哌隆(抗精神病药),Spiperone,T43.4,X41.-,X61.-,Y11.-,Y49.4
1648,0,螺普利(降压药),Spirapril,T46.4,X44.-,X64.-,Y14.-,Y52.4
1648,0,螺旋霉素,Spiramycin,T36.3,X44.-,X64.-,Y14.-,Y40.3
1648,0,洛贝林[山梗菜碱](中枢兴奋药),Lobeline,T50.7,X44.-,X64.-,Y14.-,Y50.0
1648,0,洛伐他汀(降血脂药),Lovastatin,T46.6,X44.-,X64.-,Y14.-,Y52.6
